CODIGO DE BARRAS,CODIGO INT,DESCRIPCION,Proveedor,CANTIDADES,stock al cargar,Entrada,Salida,Macros,Macros,Stock
92626365106,NPI0385,SET DE LAPICES MICKEY,CRESKO,180,181,0,0,0,0,
7.79112E+12,NDN1656,DINO EN BOLSA,METALPACK,71,71,0,0,0,0,
7.79218E+12,BCO5171,TRES RUEDAS COCHE,BABY MOON,22,22,0,0,0,0,
7.79834E+12,NFU0110,PELOTAS DE FUTBOL,-,90,90,0,0,0,0,
7.79815E+12,ET83,PARLANTE,CLAUDIO,32,32,0,0,0,0,
7.79004E+12,EVA202,PARLANTE,CLAUDIO,32,32,0,0,0,0,
7.79048E+12,BCO8254,COCHE PARAGUITAS ,BEBITOS,20,20,0,0,0,0,
7.79807E+12,BCO0061,COCHE MESEDOR,LUBY,202,202,0,0,0,0,
5.201E+12,NEX2300,CABALLITO SALTARIN,SAN REMO,84,84,0,0,0,0,
7.79058E+12,BCOPA20,COCHE PARAGUITA,BUDADA,12,12,0,0,0,0,
7.79518E+12,BCO210,COCHE,BABY MOON,2,2,0,0,0,0,
7.79059E+12,BCO0210H,COCHE HUEVITO,BABY MOON,48,48,0,0,0,0,
7.7929E+12,BCO0816,COCHE CHIQUITO,BABY MOON,56,56,0,0,0,0,
7.79814E+12,FPO1932,PONY VOLADOR GRANDE,DITOYS,113,113,0,0,0,0,
7.79814E+12,NM1881,8 ESCALONES JRS,DITOYS,30,30,0,0,0,0,
7.79814E+12,NME1784,OCHO ESCALONES,DITOYS,24,24,0,0,0,0,
7.79814E+12,NME1539,QUIERES SER MILLONARIO,DITOYS,38,38,0,0,0,0,
7.79816E+12,NME1199,BUSCA EN EL MAR,BONTUS,38,38,0,0,0,0,
4.89446E+12,HRC1861,RC DEPORTIVO DOS DIRECCIONES,GO SHOP,19,19,0,0,0,0,
7.79274E+12,NAU2886,COCHE COLORES ROSA Y ROJO,BREDICE,35,28,0,0,0,7,
92626427262,HDI0090,CARTUCHERA GRALLONES MESSI,CRESKO,24,24,0,0,0,0,
6.99121E+12,NDN8257,DINOS DE LA SELVA,METALPACK,18,18,0,0,0,0,
7.79401E+12,NME7255,MILES DEL MAÑANA,TAPIMOVIL,60,60,0,0,0,0,
7.78988E+11,NME8425,ROMPECABEZA PAWPATROL P24 LATA,CAFFARO,36,36,0,0,0,0,
7.79816E+12,NME0482,MEMORIA DE ELEFANTE,BONTUS,31,31,0,0,0,0,
4.89446E+12,HPI9981,PISTOLA DE AGUA MANGO,GO SHOP,22,22,0,0,0,0,
4.89465E+12,QGS1950,BLOQUE BOLSA P50,GO SHOP,60,60,0,0,0,0,
4.89465E+12,QGS0031,BLOCKE AUTO P106,GO SHOP,60,60,0,0,0,0,
4.89465E+12,QGS0033,BLOCKE AUTO P106,GO SHOP,45,45,0,0,0,0,
7.79816E+12,NME0116,LOLA MENTO,BONTUS,21,21,0,0,0,0,
7.79816E+12,NME0093,ARMA PALABRAS,BONTUS,21,21,0,0,0,0,
7.79816E+12,NME0130,ENREDADOS,BONTUS,46,46,0,0,0,0,
7.78989E+11,HJU3994,BAKUGAN,SEGA,100,100,0,0,0,0,
7.79401E+12,HDI8016,PJMASK CARTUCHERA,TAPIMOVIL,16,16,0,0,0,0,
6.82237E+12,NDN5004,DINO CUELLO LARGO,RONSON,23,23,0,0,0,0,
6.97485E+12,NDN3806,DINO WORLD CAJA IND,RONSON,105,72,0,0,0,33,
6.97485E+12,NMU0997,GUITARRA PILA,RONSON,1,1,0,0,0,0,
6.9E+12,NDN1959,DINO WORLD,RONSON,20,20,0,0,0,0,
6.99124E+12,NDN8257,DINOS BOLSA,METALPACK,25,25,0,0,0,0,
6.9912E+12,NAN8256,ANIMALES BOLSA,METALPACK,75,75,0,0,0,0,
6.90513E+12,NDN3519,Dino en bolsa,METALPACK,48,48,0,0,0,0,
6.99127E+12,NAN8256,GRANJA ANIMALES,GO SHOP,95,95,0,0,0,0,
6.99126E+12,NAN8256,ANIMALES DEL MAR,GO SHOP,102,102,0,0,0,0,
4.89446E+12,NDN8680,TRICERATO DINO,GO SHOP,24,22,0,0,0,2,
